Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA
2019-01-01,90.03571167835146,56.354137208712,45.62683580717866,70.07074413233079,77.24173881693791,66.5415266158374,38.041408237087566,82.3403603579332,37.752699574643,77.30016869074751,67.8144398961537,177.9513836833609,58.244620743261564,65.44022693808625,54.227295723742806,54.79512941173786,67.39581248956179,45.82221272700193,51.32120800730653,52.55072963713165,41.162300361111186,52.905604599080476,56.03251313314412,56.29456610118618,47.903165344701634,55.83011773543515,73.62768576648506,48.26278152470787,81.20816168082357,61.77710580437437,55.80906788642567,38.64749004989157,66.10411923080136,73.80293692426181,70.9876068985088,47.30236188004511,54.99207366208849,72.35073923320397,50.41501873279145,52.37097193168472,44.605364201979334,53.37075182074874,65.84745801020566,54.908338854907846,67.7411591916101,72.1019658304087,56.62071401434718,73.1122831513751,21.359183671657966,72.41980349183943,48.88604498357426,45.601355253747045,60.64452267776318,60.97874950966079
2019-01-07,110.30925503184234,53.42171895486138,47.21499174419033,60.16236500489479,72.61241035530306,62.248007619734146,42.53527948847562,72.39698248553779,32.87089615728636,70.45729011404265,62.351281963589976,168.54694443059026,48.50395803256088,67.41278584710663,52.376237092177995,37.46761188104305,64.58347650026452,38.11019102385728,42.856152767691576,55.14858813949346,40.91922870535914,59.3908499631869,51.48955028759858,61.076751712311996,44.76884612214286,44.19227094545185,70.17699835753602,45.86380724252297,61.62692219767378,46.73614202310347,58.00485399741377,46.815836697920744,50.4845198116891,73.82817199212656,71.55542520260076,41.75452513351028,49.49105866877686,63.83239078079917,51.17628058645511,58.05167526613472,43.631066556891696,60.07168547128045,62.83730387400068,48.504623214323864,77.45804146143143,51.10743334752276,50.39264576877969,175.35692953488618,44.61373948032762,62.00497072247833,51.799952181684205,35.25080260314571,67.90127916919691,60.070811390845435
2019-01-14,97.0874722969141,38.38281137191811,42.042190746186535,54.98782657950561,73.25581194319808,66.13334245351386,44.663841710563325,66.93623204600235,32.996144980303825,71.93367328528971,61.64569460661935,121.38513058151385,37.87326636079553,64.40481116036507,47.84681793531677,36.64101253966074,59.82852390052194,38.93576403199426,39.721560402658675,56.431413853607815,39.39930790233665,56.72210055736335,50.11143602107395,65.6199300344218,46.37353264526332,45.94469879516832,55.27907670619405,44.15130854405478,49.48664166502387,43.79351872380202,45.196745493248,47.714026972946264,48.55795418811571,71.46914552518874,72.36035689688337,36.43739293203672,43.3162561365821,60.25390836995121,49.56044137126372,47.58911687085337,54.73822539252433,41.688616928405644,59.9052341027113,46.66551102480884,76.05082822185713,60.65387989154214,50.8756032550484,77.73773198495412,39.51263206725313,65.61699622687831,55.00380762122643,38.40535700547651,66.84737577460955,54.83343469123616
2019-01-21,92.40165042190182,42.23647668182786,46.34699604869872,65.99155842382697,72.84214117202994,65.78368905654992,44.37259488040789,74.32219807295505,35.666363633389565,78.49760521854715,66.95251679815621,129.59692306295574,38.1457072733581,68.69216454951207,50.39940356846779,36.58388662085332,56.12785889706612,40.041528092362476,39.77026635524484,56.262667900282814,42.7122999605815,59.3892920406936,50.54792961384369,64.93671859379488,48.44847829077794,42.019369859061854,64.16820318256897,45.373099973095684,52.36424451216053,47.120554972162644,43.76659031513482,50.40050725260501,49.631754791927435,73.16289409330024,81.19032568339905,38.34962153088485,42.66814301836683,71.48102172976061,51.58687022058013,50.288196875887095,40.101985787753684,42.92311014435907,68.11175735171659,51.81648223649316,74.98556534755438,59.19792849615837,51.8949737225396,166.40585527015054,54.97832192526617,69.54362968542212,53.59234181718778,37.22948328513387,63.803484943189105,58.58915534437559
2019-01-28,106.32007297752008,34.628403542815306,44.263199034326924,83.48842676275821,74.76140396958647,60.92292276029116,38.33209971749466,65.81371058534428,41.31988755910281,80.83575482881314,74.21773098293558,113.2938213444956,39.38983970976078,59.6236440236674,46.96382306691578,38.890673519797566,51.55324715260016,38.21937955193872,36.56858526646188,54.412451645431716,35.28878342641904,67.62951272970885,45.823719469406726,58.626283079872465,42.931917012839634,39.60864021338156,56.607961957089536,42.98398133971775,45.81294608580254,45.682627716206426,51.04497403640296,45.77398787586135,55.225406808163356,72.06985377012637,91.8746434047227,34.887384254426266,44.20440207600184,65.38311038483306,49.15877466991385,38.45202231023165,42.82654460273847,40.82668143218138,55.41899677432208,48.63359833264349,73.40088783789484,55.994805914721184,47.30937353509552,119.15676684629544,42.995124533927786,63.28510896751146,49.08795893463395,31.890441585342256,53.51398341604392,55.41943930823656
2019-02-04,89.01148391289443,34.13475722332711,36.39518747713797,48.44271904576593,62.38522362294673,57.85395231443207,37.624209669390154,61.91989967354221,42.57173680314773,65.20784948177392,56.49260815750124,109.483164359514,33.99928267588169,46.92691572388238,45.70825888683535,32.39734692020323,48.217778353897884,36.58395697957089,36.14248599384332,49.324647617444924,33.53106327970563,53.264216142425745,44.67236588554695,53.571392571816254,38.998793923725316,39.773555852083476,51.15760302393826,40.032487847309454,46.41657975801557,42.929562508209926,51.0283983562488,40.02975689843104,44.198150835625775,62.33285317217493,62.635719473041476,33.408007280035875,37.85713184032256,55.34466548500697,48.01107112367592,38.92062990082797,36.97771077802764,37.024273023807496,46.177587087615464,44.041352694461615,66.63676789796483,51.17707374305538,44.06365218626528,56.60752537212512,42.96736958967352,55.266636662949466,43.12059996773827,32.01330965430397,54.59470383786127,48.29445344428208
2019-02-11,126.58716991113992,41.811119852948416,41.79556611810729,52.0293581957452,72.74058234209993,63.13899658104693,45.8309025561946,79.09417169282067,39.26907741866314,69.69816648807247,62.002517327827746,128.97575535354758,43.70341035041829,61.21152737261031,53.464301507657176,40.4876296350412,56.02798750439186,42.03490190890674,38.11896692448895,59.47843202530709,39.95152169436449,58.07664788965684,51.6664781332941,57.94495986472381,44.388650049454476,43.503913512935675,62.7116303428145,46.8339236002041,71.9027077133155,48.219414584433544,58.35426721143467,43.39148101640456,51.69227343283514,71.6993333370458,69.6423667850936,39.289064971700284,43.57076319729102,62.16881275363031,50.64677424506198,40.56149650219631,37.88176313190973,42.71164215516761,65.27380489193575,49.239511862731064,76.77849012123775,70.53330439875425,52.586373109444764,131.01351896801123,36.68268581114751,65.81564085072273,52.811239825470025,36.9198375260525,48.34408295659728,57.36431919837941
2019-02-18,98.98445050243055,40.422707891105965,45.39189269683548,48.51001966115289,72.46633222261934,63.56156596654714,42.59249199318765,84.09704836497914,42.51073449723643,69.84499645352237,61.859698895747925,124.95482085490971,41.93961926307525,59.87607457465744,53.54272304621769,41.81522168597935,58.33823380059837,38.39139002312704,37.92431084330627,62.88466103200279,38.487811652443845,64.05627865119484,55.29315626776993,62.96308641266778,47.98942374352024,42.652142320651954,56.548551041540186,47.66753698177846,67.47668319659266,47.038090778729966,54.36100927492679,46.05394831803768,47.564744269762976,69.64254969457531,78.36158654113149,39.75677783548157,46.157758176189525,69.72409928322831,50.02696276702049,31.75317460703258,55.531929298472996,40.82798395122651,67.91936293888173,49.11476229264222,78.94790502088688,69.67207743943635,50.97397753605008,196.07321794942126,60.90626893320702,66.29625030360609,51.158576629875405,41.25382483570858,70.014867600626,59.47500699648221
2019-02-25,123.64196518807272,43.42829040996377,43.05681123788129,54.396025152786606,71.70387910239367,65.508539144649,43.98648855280338,74.36356283909706,40.57160242829831,72.09524351519713,62.08205403070782,130.94766599469207,48.77346286877391,63.699417356100646,51.98800913953463,42.689307893827866,58.604745599398775,39.925710909230574,42.21135654789322,55.89308465207012,42.725184260686405,46.18423276991496,64.60523761474593,63.29529161681767,47.231804456255205,45.26229001011567,65.8392285747195,52.66008471447326,65.88920409746261,44.207515400580995,60.33774165402377,47.951567858249796,50.19451154823614,68.56594025629585,71.0382808697957,43.107596057438776,43.551177423778924,65.48516510229153,56.084377246969616,31.74098862394441,43.945268278271,42.18333125964249,73.41456304174773,53.87177313447287,77.0258208113832,57.14194630197025,54.80310144545085,161.0519510194691,65.55764198739472,72.87099004207842,53.33005694498434,43.34171011856901,65.09851582718026,59.79549647042988
2019-03-04,116.92219759922249,49.89284909434181,41.04892036107117,57.08144531552471,70.56186313012418,62.723853025572865,44.58344940654394,81.7313027579864,39.574487522522716,67.96003302672634,59.574438271980235,123.20066585673527,43.78988534664544,68.17307046440726,50.55076909523419,47.89572599108057,79.11450166712521,43.90639472240033,43.67446468908256,58.759086681025686,42.259656568450495,58.23756542566132,62.83918637577089,63.9220830937391,45.07124432043515,52.01653773630415,60.832937403895656,58.67434795513739,74.54196205038056,57.35879070977821,55.25748135262019,44.97130779604151,52.2829345604711,68.53016736331412,66.33354873868072,46.04143727073756,40.18537558118944,60.38172965850032,54.46953002557419,45.55042332327647,53.75642509748701,47.393980207641896,62.392701132126376,56.17269146226556,78.48285755256683,60.691149559177816,59.34071795063776,212.1183491437196,56.89799077419831,70.45089026422431,48.40815216472743,44.81801910009926,61.81597323485977,61.758821678849884
2019-03-11,134.41025789770777,61.307378283063365,62.80176853482771,67.07314010585401,87.71761626844629,70.71537219481729,56.467768706298244,106.62047520061415,51.50642711970409,85.99346756257692,80.36821758867184,154.61883080201446,68.5100778533542,70.96711045720804,65.83282433715442,66.61230152608498,98.04345716154594,57.21172680073308,47.603983246988726,75.29735803717409,57.730462002745384,94.75133738524649,63.821064706024806,79.26015942411733,68.397911839933,76.01256297890316,88.15451537352011,67.28038917616962,83.32928122889342,65.11638158395084,61.798018831389065,67.21092340316666,73.79091726479417,90.88296508059908,87.00752786251779,57.95692971437295,65.57417280129704,76.98186460519756,64.7991758391626,47.55670078736911,72.31680481640383,58.44028862632953,70.22216775315191,69.8665190292426,116.4456234296085,81.08099949333301,71.17857655484917,145.30092963781482,77.66123110160133,86.65924046902187,66.69464142160153,67.56808382383444,70.96330046223515,76.63190996591013
2019-03-18,117.7520583888072,60.405129939097655,81.84743287782975,64.42195159466864,88.20814476937502,81.99421326304751,60.28774760717893,92.86244621209164,45.509012393412775,85.03106377495352,76.37659743798676,159.1026053253105,78.97977727637739,80.3740777790753,68.11964015757951,57.800890127449854,71.79597673740686,46.51237468293943,47.935133324192684,68.16457263835846,61.70034901941978,82.87374180485445,60.90022759121498,79.17308286537325,66.9583060944742,56.50524300414271,92.71839074076631,54.95131016102498,81.40703180274316,67.0111088925993,57.51334044082829,60.40153909030833,63.556744319163464,89.30525190321266,86.04753646268637,58.7366392629959,87.68210406739111,87.34865317268616,58.689685422307264,53.13160666871873,67.58331642584483,52.989803022708905,70.55146399631222,65.34249489795135,97.9987095582162,83.47926666947549,61.72690068992985,188.21785504121394,49.5809908143844,82.01974996834912,81.43423157326697,45.336390636331856,90.03957391412433,75.02629219438039
2019-03-25,112.36876964196124,57.46544474107803,52.796427384557575,61.61505328569872,91.55952787952603,86.60131853250353,51.930871937759036,73.97158738959678,47.292558120756006,79.4522484288308,70.5828931510937,149.01064228264937,47.59426896483032,71.21048518848022,66.81636690152601,71.355422736314,70.56661989504127,53.297053002570635,45.25013829190179,61.006529065460654,54.301892471239526,70.57385831470864,68.67648583586735,75.08783068786808,60.22166414125948,52.512622276267464,83.44348294591711,52.511381912286275,66.4885223478007,57.550279532383136,57.78304053309611,51.58420842972429,59.73412483725706,86.83796890914701,80.13281475285775,53.458793058800566,56.59039820767548,92.64291247438112,60.52147265812047,38.518798804846895,53.59731934296467,49.86306219238817,72.44808952206508,59.04450562184589,89.65546080863666,69.51850167438954,63.08434160213196,230.57354355174752,50.83349274553674,83.41871709820086,73.73239240977689,47.86153903800298,79.71804567119241,70.26916587231169
2019-04-01,117.88475467818512,52.645037903147895,54.38204363349468,64.2551644987597,93.07540230151501,79.91077825073837,61.46310296740109,80.7869874777505,56.746278041103366,80.30409762066103,75.71124025057935,146.23085955214418,49.66998619796395,77.3895004434847,56.130059849689,58.74194359237643,68.32189031395218,58.376825809278394,43.43953750781993,66.07143373469823,48.38393400020001,60.55976469741722,73.88968654108268,74.09119365449237,51.960320939032314,49.43032134494542,79.06708107954597,53.180077171177615,67.98228901575445,54.73391484948474,51.40441737675715,49.591297219509656,61.828539822606885,91.11787204643407,76.92341010715204,46.37796797294878,52.187321561478214,85.41895872481491,56.91308841904583,52.90049849533801,55.11700190405596,52.6287004490377,72.54540572700378,57.2592095607928,88.04232386725063,80.1432091487313,63.435016216023776,157.51791341752443,61.589256163459844,84.38032364261518,58.09686093662211,43.10797675390213,96.66570736051649,68.8680714115377
2019-04-08,115.98615827517635,49.32446581462342,49.80505325446955,61.978192996577285,92.22787272483272,78.29529566633248,55.09950383910378,80.32682563482855,53.038597910374925,81.80845994293544,69.48804606088977,146.94506543133699,47.98887184211571,69.73668692816845,59.285064501295786,49.25487235043837,66.41963212059359,44.40799854768365,52.90761827693071,73.9376745575889,50.284723050642306,78.83545984570969,63.22625414808711,65.33541815676337,58.83520848044553,47.590830281866026,64.63119229736893,55.525744572147396,61.83129670880353,57.01378119569994,56.00175601993978,55.15429684914279,59.96189011325103,93.72931158893026,81.69046927552175,46.86941208043804,52.36988765422787,80.31025399693627,56.67332538919594,61.5236459967068,60.367213781437385,55.65233951174146,62.63015350122495,63.106525634536574,86.38195847033016,67.44415865539698,63.47870684695937,116.17194186758115,75.606534455722,89.69272267481402,59.03902659564115,51.8492441990167,62.052652084168685,67.15338288031492
2019-04-15,111.61346993779124,48.380571916687366,45.08186098594406,60.252719479100655,88.78519291802235,72.48143243987016,48.415916937362454,88.46401768483993,46.6863937371832,78.2341927529327,68.88945266637369,162.93191336929982,49.92964429330711,71.78072895468658,62.744209555817,44.059213159623205,67.04787898199645,43.207036741293344,54.184090715130615,66.01577388884088,46.93433182078272,59.09194487043924,55.94545406414027,63.24552825126575,51.75084636831872,49.294945727721775,76.57122181852651,58.307655906237365,71.60048332584016,56.87948157540063,53.773414171636155,53.768291077671975,63.253185371123685,92.47854261943102,80.98191057058295,46.15606684458026,51.990069119348966,75.64945856979097,56.66083189377519,49.523455269588545,58.11660855224261,55.54624915540729,70.48035549325198,58.637390428713466,92.20211366039119,73.6929503676442,60.41837096335378,209.00151823916144,62.33830475608597,77.68958979949474,62.17548376067768,50.264559010539166,72.93351108526431,67.85924218159496
