Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2019-01-01,90.03571167835146,55.73413670785686,45.68042175739269,69.99452534021712,77.27614124300482,67.03469640752273,37.939336305971906,82.8709831409805,37.78672017701113,77.22232455247338,67.7617185473003,177.58837668771812,58.328885715601444,65.31132623747474,54.28670207616882,54.825934896329514,67.24398225187991,45.926004663687806,51.2504520358101,52.70541274005054,41.02619788369191,52.905604599080476,56.07231370456972,56.4134238830554,47.73162238481704,55.44390539246348,73.08245976825772,48.49437943047249,81.08758466383529,61.70824783992155,56.309933541602454,38.605700458996395,66.21129772671007,73.16496269702421,70.95502410145514,47.375793833263664,54.90704068444427,71.86354023932167,50.5385726483974,52.515441711679365,44.60860384247651,53.13323531505118,66.13522874891102,55.41424865903973,67.77890457301191,71.95337441433513,56.88026746136718,73.88840059545984,21.359183671657966,72.24929922527882,48.77082938469988,45.63415309251937,60.949323457241505
2019-01-07,110.30925503184234,53.170654150402264,47.12769180568027,59.93546252141903,72.6365221569414,62.60972667931954,42.43017962114085,72.7834490911791,32.88973325820151,70.4768968146509,62.49094115735918,166.40676027992103,48.46846535722589,67.32467859861066,52.56765774854129,37.46891093031049,64.16115201495977,37.93044911947956,42.74702379523254,55.32179635022139,40.60758011438505,59.98191730282838,51.52343469647967,61.22163971033164,44.59600061232368,44.22006630271047,72.37688188446619,45.91107268085006,61.692196003647744,46.681068221932655,57.989656619365505,46.50809288876878,50.430427219676424,73.55035017805442,71.68878807676661,41.852665574928906,49.50781071472637,63.679076682252614,51.32591810807714,57.974023702069715,43.685183363219195,59.919945628281454,63.018021105478546,48.518533923157065,77.47630641547086,51.039540211088735,50.62314423191581,172.88711362594407,44.467942946078196,61.93677695692363,51.666520115614446,35.276122128813945,67.84788790879345
2019-01-14,97.08747229691413,38.3709768482027,41.86379030582876,54.75507432360626,73.2086139808423,66.1945312530905,44.69606264640203,67.04746334121228,32.99614498030382,71.88952361229296,61.71349335299473,121.2148764343441,37.79827655797392,64.33433638625786,47.9292428097763,36.60185882324914,59.598846822888625,38.984232922864045,39.71290376840825,56.369703212713205,39.47337001025029,56.91248010039613,50.07408132104169,65.5217778298046,45.96164357745134,46.00723424781854,54.914937660527634,44.27860921827828,49.81102366199254,43.5832697153841,45.15371041678648,47.65815052577373,48.64051280211353,71.4896721430083,72.53509114634394,36.409648555944656,43.239224886396634,59.93316896429445,49.63260365836729,47.71867581092229,55.89974832742713,41.75793002071803,59.81234241577379,46.86181914164657,76.04731815847441,60.67354084916098,50.89123363269976,78.81392920965332,39.704156837190894,65.6367549442526,54.88639693758632,38.40586667630758,67.24425578970234
2019-01-21,92.4016504219018,42.3090895513722,46.44380471188659,65.94320425362567,72.7280589756912,65.87831530850671,44.47263402666249,74.60992637552165,35.71958701588292,78.49756301084264,66.9032997206297,130.14327438082248,38.1171278598281,68.65303030817648,50.623602637168275,36.59406129189169,56.09895793825784,39.97320087305211,39.77898307002844,56.251690430966896,42.907174499639545,59.39055494079826,50.51622053039495,64.91200858000126,48.18223921009902,42.01220788044002,63.070535887803516,45.407438754496305,52.92352606748773,46.965470963877976,43.82145942391319,50.16012903831385,49.48533697566659,72.85455018777719,81.32751843484164,38.40405224945864,42.25951227666565,71.44330827505976,51.658067830545264,50.26531835307952,40.43739065837866,42.878151748507484,70.42515830213861,51.843371945375694,74.99781818865354,59.632761777122994,51.95833602126731,163.9221857885065,54.89451350769717,69.5233760130518,53.461659851641464,37.160963196714356,64.09962650321468
2019-01-28,106.40008445662615,34.80216962763564,44.24099453638957,83.49533321750161,74.75149892141452,60.75708116630047,38.50362167416224,65.92826600823568,41.40710342292626,80.72673595639299,74.24472199600106,112.60232920037053,39.37915492713798,59.67552032641869,47.06699859039385,38.971655089962496,52.23640789401227,38.238220090862804,36.34909273978877,54.36119437787574,35.320147820157025,67.64104520746756,45.799417657968135,58.71920792767607,42.92089826221159,39.79634974829045,55.058576237967365,43.066326511434056,45.87858662304751,45.37322289999159,51.09682927037415,45.46056827972624,55.13448036725209,72.01056858551867,92.02129510915853,34.90254845341273,44.17509763997137,65.07235553390585,49.00597863993877,38.47158988819757,43.32968130978379,40.89925324310489,55.38937154052257,48.776115530012355,73.38856769174168,55.73441378878258,47.31826797098682,119.15676684629545,42.92544037747085,63.32080624480143,48.782243819594015,31.901700493716238,53.679553573211315
2019-02-04,88.77036073277343,34.28235696336199,36.41261490896901,48.26652826291492,62.29695561111944,57.87854245180125,37.60590854619995,62.347707993647425,42.59085310916662,65.080446381894,56.47619576118218,107.58515047106872,34.03227281852363,46.791396707063626,45.98557155845933,32.22562413862792,47.917838583555536,36.59020411670441,36.2024837352945,49.34902500234756,33.38900782942749,53.24875865789577,44.665287013556906,53.82230979171092,39.10533918150032,40.293488620420426,50.17060449826271,39.951159212963056,46.268026187217764,42.88267509506293,50.95071518313654,40.01892000801441,44.37696480695251,62.437613649658125,62.90477171691208,33.41224882709828,37.841808271286354,55.377948605506276,47.988771663317166,37.896111139221965,36.97487491796477,37.31837146973241,46.13192581333416,44.009103110882855,66.62215225304702,51.164710904440874,44.127897064849925,56.60752537212512,42.96689317786634,55.333639346516705,43.05078332670559,32.06681516272515,54.81610135438602
2019-02-11,126.58716991113992,41.865782786769294,41.812522023266325,52.274153828182584,72.77542653993717,62.96200783478573,45.92556591920529,79.3762581627718,39.343038700940056,69.68773154642827,61.92432919830987,127.58748840326527,43.72739586248797,61.50712468535152,53.57792828752198,40.46458755378538,54.96989841504635,42.14283483529063,37.92637676459832,59.583619666511744,39.64748645533383,57.889457313048396,51.64632653785753,57.947227521171726,44.47116850723188,43.42928590326143,61.63254277848135,46.930158959552124,71.72330245452896,48.379536733120105,58.34678294029921,43.72675024385615,51.61292143319276,71.75175755927526,69.71713417196733,39.2131179764226,43.39580391006121,61.78531280390427,50.57163214951104,39.99942627528729,37.843418915534365,42.69009801200079,65.18990866377385,49.06175756286385,76.82282880842584,70.54670942106885,52.604721780859876,131.01351896801123,36.68268581114751,65.92592008727456,52.82867204489926,36.971826503138146,48.51373054953001
2019-02-18,99.23209072249729,40.636025838693875,45.42349589023294,48.54107220076996,72.39490927346914,63.36731678863609,42.54724097706463,85.43676650865687,42.549902205293755,69.7915125724147,61.94037876751622,124.28041131075416,41.90985533015241,59.96631054848278,53.65695358402177,41.720795132370796,58.172504286967985,38.59846899541959,37.898055443564765,62.884384372927364,38.35944273327907,63.99894516160053,55.54482881419312,62.9957120769005,47.70428377583669,42.585667041850215,55.584060334990596,47.7872056794599,68.23972512187288,47.020812432455706,53.78193694087533,46.08394769339174,47.58396226983697,69.53402483129126,78.39032933253418,39.75651690501046,45.881129473015555,69.25356281146473,50.107335965456926,31.724957848836215,55.629481109750834,40.822015490963594,68.67018208597993,49.10326535037149,78.85723104478265,70.23765752823233,51.119662726019044,196.0732179494213,58.80267530922988,66.41604192130458,51.77836173237705,41.24347332219536,69.88760714435905
2019-02-25,123.79651764455782,43.39228047132822,43.000215705037945,54.52566491333001,71.53951532786945,65.55355337775352,43.95790607493005,74.24560822199305,40.639375215058394,72.07011697811755,62.12106001806636,130.38659454567917,48.9235645886907,63.98972934658988,52.11917448628292,42.80756845513517,58.624686912154594,39.90204339220873,42.08243352691872,55.87867265437697,42.65160188657532,46.068240294105955,64.9148728783088,63.4404063296799,46.91088795887209,45.314570122211244,64.10300713121501,52.8818631823728,65.84448026302815,44.3811957300611,60.008201301795445,47.90225033617964,50.10935466882564,68.789728217158,71.04318688138997,43.068159745684774,43.39573610521657,65.60685631669342,56.06025466142601,31.787430823902504,43.94622455972331,42.38317599511748,73.38177933255237,54.14312771129532,77.03909739405972,56.962421690514965,54.807988619017436,161.05195101946907,65.66950174906376,72.83153536243638,53.953634609683625,43.4137448359569,63.766658359458106
2019-03-04,116.92219759922247,49.78531023970843,41.10735941776763,57.3739215587488,70.53974745553923,62.52287706976029,44.561318164156404,81.61779633193788,37.89261028007966,67.9985757976147,59.51542101258253,120.31308963294363,43.60282215588948,67.82587441910007,50.50090434119795,47.87338218118591,80.29321189724983,43.99275343956314,43.48768693373697,58.77892505408092,41.854757391318905,58.23756542566134,62.87745607243684,64.46060260141677,44.642831254666966,51.92860003291615,59.10258103977099,58.8652562846719,74.65452809445692,57.971340053941375,55.17669556116899,45.132516945774405,52.282934560471084,68.25629400974586,66.57990110162106,46.08830204036379,40.169783506784874,60.32676344953317,54.59602291179259,45.62425188746167,53.771327417056,47.40345008589281,62.392701132126376,56.28069418379083,78.40389188690155,60.899017465516714,59.32560911915224,212.1183491437196,56.73330615569069,70.35481153091564,48.41048350737154,44.48327489301129,62.16521602149739
